logProt,logRvar
3.2778494,1.5854608
3.741609,1.0856473
4.0471983,1.052694
3.0141454,1.5645477
2.78856,1.5948343
3.6871924,1.1580608
3.8834424,1.4620984
4.3652825,1.1159432
3.7103484,1.6366885
3.454533,1.5434471
4.0020866,1.1942368
4.102822,1.2392995
3.906725,1.5102769
4.145779,1.3778524
3.1740286,1.6547539
3.0865853,1.5584686
4.111254,1.0948204
3.2327054,1.5614592
3.54755,1.5102769
3.231917,1.5102769
3.1956623,1.3928727
3.5407474,1.4320067
3.3389788,1.2484637
4.2318377,1.281488
3.5615942,1.3596457
3.2370224,1.5794406
3.003167,1.690816
3.4560266,1.5614592
3.510202,1.4350476
3.3931878,1.5011963
3.0536792,1.5100086
3.518833,1.4711449
3.418644,1.6005373
4.068538,1.0224284
3.7864325,1.1972805
3.8607929,1.1099159
3.8479362,1.0888445
3.8727093,1.1280761
3.7674913,1.097951
3.6903818,1.4590908
4.0833635,1.0285712
3.9489715,1.1942368
3.1336672,1.2942457
3.3221312,1.6637951
4.230979,-0.2596373
4.6804876,0.667453
4.1559677,1.3868556
3.9637985,1.1880844
3.1190202,1.6035774
3.9097185,1.1911714
3.5834146,1.4440448
3.8415399,1.1519824
3.483446,1.4740705
3.9397783,1.3445888
3.6962092,1.230449
3.636144,1.2995073
3.3965273,1.6065962
3.1198967,1.5644293
3.1966755,1.5915098
3.5940452,1.3658623
3.2718084,1.6035774
3.6358712,1.4620984
3.9419107,1.2301934
3.5099726,1.4951279
4.1303988,1.0346285
4.037783,1.2003032
3.8577955,1.4892552
3.4379592,1.269513
3.139745,1.6728364
3.7542744,1.2422929
3.6210504,1.4380674
3.206137,1.5915098
3.0777931,1.6457169
4.691932,0.06069783
3.5780709,1.4470029
3.1093483,1.6787914
3.878159,1.2211533
3.6000934,1.1401937
3.188159,1.507181
3.3097441,1.4650853
4.017531,1.3265407
3.4967782,1.5011963
3.8545444,1.4951279
3.2834506,1.4952668
4.646616,0.7242759
4.1791434,1.11294
4.19952,1.052694
3.1862624,1.5764565
2.9137645,1.6426623
3.991293,1.1280761
3.139141,1.7028612
3.940691,1.1159432
3.671139,1.3747483
3.738139,1.2182729
